Timestamp,Mode,Knee_Angle,Trunk_Angle,Quad_Force_N,Status
14:28:47,sitting,42.1,6.7,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,45.9,6.9,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,50.4,6.9,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,52.6,6.8,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,53.2,6.7,352.0,Ошибка: Угол ног в кресле
14:28:47,sitting,46.1,6.7,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,46.1,6.6,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,42.9,6.6,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,38.8,6.5,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,41.4,6.5,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,44.4,6.5,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,41.7,6.5,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,38.9,6.6,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,42.1,6.7,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,41.1,6.5,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,38.2,6.6,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,38.9,6.6,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,38.8,6.6,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,38.4,6.5,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,43.2,6.7,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,49.4,6.7,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,51.1,6.4,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,55.8,6.2,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,59.9,6.1,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,56.2,6.4,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,51.4,6.5,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,54.8,6.5,352.0,Ошибка: Угол ног в кресле
14:28:48,sitting,55.9,5.7,352.0,Ошибка: Угол ног в кресле
14:28:49,sitting,60.6,5.8,352.0,Ошибка: Угол ног в кресле
14:28:49,sitting,67.9,5.8,352.0,Ошибка: Угол ног в кресле
14:28:49,sitting,76.2,5.6,352.0,Посадка в норме
14:28:49,sitting,77.0,5.8,352.0,Посадка в норме
14:28:49,sitting,68.5,5.9,352.0,Ошибка: Угол ног в кресле
14:28:49,sitting,57.7,5.8,352.0,Ошибка: Угол ног в кресле
14:28:49,sitting,46.8,5.9,352.0,Ошибка: Угол ног в кресле
14:28:49,sitting,38.8,5.9,352.0,Ошибка: Угол ног в кресле
14:28:49,sitting,34.5,6.1,352.0,Ошибка: Угол ног в кресле
